[2022-03-12 19:08:59,331] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
2022-03-13 22:04:39,543 : INFO : Looking for devices....
2022-03-13 22:04:39,543 : INFO : Initialized PRRT driver.
2022-03-13 22:04:39,543 : INFO : getting drones.................
2022-03-13 22:04:39,543 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:07:00,275 : INFO : Argos server launched
2022-03-13 22:07:00,276 : INFO : Crazyflie server launched
2022-03-13 22:07:00,276 : INFO : app launched
2022-03-13 22:07:00,278 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 22:07:00,283 : INFO : Looking for devices....
2022-03-13 22:07:00,284 : INFO : Initialized PRRT driver.
2022-03-13 22:07:00,285 : INFO : Looking for devices....
2022-03-13 22:07:00,285 : INFO : Initialized PRRT driver.
2022-03-13 22:07:00,287 : INFO : Looking for devices....
2022-03-13 22:07:00,287 : INFO : Initialized PRRT driver.
2022-03-13 22:07:00,289 : INFO : Looking for devices....
2022-03-13 22:07:00,290 : INFO : Initialized PRRT driver.
2022-03-13 22:07:00,290 : INFO : getting drones.................
2022-03-13 22:07:00,290 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:07:05,296 : INFO : Looking for devices....
2022-03-13 22:07:05,297 : INFO : Initialized PRRT driver.
2022-03-13 22:07:05,298 : INFO : Looking for devices....
2022-03-13 22:07:05,299 : INFO : Initialized PRRT driver.
2022-03-13 22:07:05,300 : INFO : Looking for devices....
2022-03-13 22:07:05,301 : INFO : Initialized PRRT driver.
2022-03-13 22:07:05,302 : INFO : Looking for devices....
2022-03-13 22:07:05,303 : INFO : Initialized PRRT driver.
2022-03-13 22:07:05,303 : INFO : getting drones.................
2022-03-13 22:07:05,303 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:07:39,030 : INFO : Argos server launched
2022-03-13 22:07:39,071 : INFO : Crazyflie server launched
2022-03-13 22:07:39,071 : INFO : app launched
2022-03-13 22:07:39,076 : INFO : Looking for devices....
2022-03-13 22:07:39,077 : INFO : Initialized PRRT driver.
2022-03-13 22:07:39,077 : INFO : Looking for devices....
2022-03-13 22:07:39,078 : INFO : Initialized PRRT driver.
2022-03-13 22:07:39,084 : INFO : Looking for devices....
2022-03-13 22:07:39,087 : INFO : Initialized PRRT driver.
2022-03-13 22:07:39,088 : INFO : Looking for devices....
2022-03-13 22:07:39,089 : INFO : Initialized PRRT driver.
2022-03-13 22:07:39,090 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 22:07:39,090 : INFO : getting drones.................
2022-03-13 22:07:39,092 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:07:39,100 : INFO : 127.0.0.1 - - [13/Mar/2022 22:07:39] "GET / HTTP/1.1" 200 -
2022-03-13 22:07:39,106 : INFO : 127.0.0.1 - - [13/Mar/2022 22:07:39] "GET /argosData HTTP/1.1" 200 -
2022-03-13 22:07:44,099 : INFO : Looking for devices....
2022-03-13 22:10:45,215 : INFO : Argos server launched
2022-03-13 22:10:45,215 : INFO : Crazyflie server launched
2022-03-13 22:10:45,216 : INFO : app launched
2022-03-13 22:10:45,219 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 22:10:45,222 : INFO : Looking for devices....
2022-03-13 22:10:45,222 : INFO : Initialized PRRT driver.
2022-03-13 22:10:45,224 : INFO : Looking for devices....
2022-03-13 22:10:45,224 : INFO : Initialized PRRT driver.
2022-03-13 22:10:45,225 : INFO : Looking for devices....
2022-03-13 22:10:45,226 : INFO : Initialized PRRT driver.
2022-03-13 22:10:45,227 : INFO : Looking for devices....
2022-03-13 22:10:45,227 : INFO : Initialized PRRT driver.
2022-03-13 22:10:45,228 : INFO : getting drones.................
2022-03-13 22:10:45,228 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:10:45,241 : INFO : 127.0.0.1 - - [13/Mar/2022 22:10:45] "GET / HTTP/1.1" 200 -
